,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,boms_id,Operating Temperature, Non-operating Temperature, Operating Relative Humidity, Non-operating Relative Humidity,Net Weight, Gross Weight,chassis,motherboard,form_factor,power_supply,chipset,cores,height_mm,width_mm,depth_mm,product_colour,pcl_express_x16_slots,pcl_express_x8_slots,pcl_express_slots_version,maximum_internal_memory,usb_3_0_type_a_ports_quantity,usb_2_0_type_a_ports_quantity,processor_socket,ecc,nodes,partner,desc,type,Gross Weight, Net Weight," Net Weight w/ 2.5"" HDDs"," Net Weight w/ 3.5"" HDDs",See Note * Non-operating Temperature,Operating Relative Humidity,Non-operating Relative Humidity, * Support for operating above 30°C is available in certain system configurations. Contact your Supermicro sales rep or Technical Support for more details. Non-operating Temperature,   with HDD Non-operating Temperature,Non-operating Temperature
11,11.0,11.0,11.0,11.0,,193,    10°C to 35°C (50°F to 95°F,    -40°C to 70°C (-40°F to 158°F,    8% to 90% (non-condensing,    5% to 95% (non-condensing,,,CSE-813MFTQ-R407CB,Super X10SRi-F,1U Rackmount,400W 1U Redundant Power Supplies with PMbus,Intel® C612 chipset,,"1.7"" (43mm)","17.2"" (437mm)","19.85"" (503mm)",Black,1x PCI-E 3.0 x16 slot,,1x PCI-E 3.0 x16 slot,1TB,2x USB 3.0 ports (2 rear,2x USB 3.0 ports (2 rear,Single socket R3 (LGA 2011) supports,Y,1,supermicro,5018R-MR,SUPERMICRO, 31.4 lbs (14.3 kg, 18.6 lbs (8.5 kg,,,,,,,,
12,12.0,12.0,12.0,12.0,,99,    10°C to 35°C (50°F to 95°F,    -40°C to 70°C (-40°F to 158°F,    8% to 90% (non-condensing,    5% to 95% (non-condensing,,,CSE-813MFTQC-R407CB,Super X11SPi-TF,1U Rackmount,400W 1U Redundant Power Supplies with PMbus,Intel® C622 chipset,Up to 28 Cores,"1.7"" (43mm)","17.2"" (437mm)","19.85"" (503mm)",Black,1 PCI-E 3.0 x16,,1 PCI-E 3.0 x16 slot,2TB,4 USB 3.0,2 USB 2.0,Single Socket P (LGA 3647) supports,Y,1,supermicro,5019P-MTR,S, 30.4 lbs (13.8 kg, 17.6 lbs (8 kg,,,,,,,,
13,13.0,13.0,13.0,13.0,,199,    10°C to 35°C (50°F to 95°F,    -40°C to 70°C (-40°F to 158°F,    8% to 90% (non-condensing,    5% to 95% (non-condensing,,,CSE-813MFTQC-R407CB,Super X11SPi-TF,1U Rackmount,400W 1U Redundant Power Supplies with PMbus,Intel® C622 chipset,Up to 28 Cores,"1.7"" (43mm)","17.2"" (437mm)","19.85"" (503mm)",Black,1 PCI-E 3.0 x16,,1 PCI-E 3.0 x16 slot,2TB,4 USB 3.0,2 USB 2.0,Single Socket P (LGA 3647) supports,Y,1,supermicro,5019P-MTR,SUPERMICRO, 30.4 lbs (13.8 kg, 17.6 lbs (8 kg,,,,,,,,
14,14.0,14.0,14.0,14.0,,100,    10°C to 35°C (50°F to 95°F,    -40°C to 70°C (-40°F to 158°F,    8% to 90% (non-condensing,    5% to 95% (non-condensing, 8.45 lbs (3.83 kg, 12.55 lbs (5.69 kg,CSE-510-203B,Super X11SSL-F,1U Rackmount,200W Low Noise AC-DC power supply with PFC,Intel® C232 chipset,,"1.7"" (43mm)","17.2"" (437mm)","11.3"" (287mm)",Black,1 PCI-E 3.0 x8 AOC slot,1 PCI-E 3.0 x8,1 PCI-E 3.0 x8 AOC slot,,2 USB 3.0,2 USB 2.0,Single Socket H4 (LGA 1151) supports,Y,1,supermicro,5019S-L,S,,,,,,,,,,
15,15.0,15.0,15.0,15.0,,200,    10°C to 35°C (50°F to 95°F,    -40°C to 70°C (-40°F to 158°F,    8% to 90% (non-condensing,    5% to 95% (non-condensing, 8.45 lbs (3.83 kg, 12.55 lbs (5.69 kg,CSE-510-203B,Super X11SSL-F,1U Rackmount,200W Low Noise AC-DC power supply with PFC,Intel® C232 chipset,,"1.7"" (43mm)","17.2"" (437mm)","11.3"" (287mm)",Black,1 PCI-E 3.0 x8 AOC slot,1 PCI-E 3.0 x8,1 PCI-E 3.0 x8 AOC slot,,2 USB 3.0,2 USB 2.0,Single Socket H4 (LGA 1151) supports,Y,1,supermicro,5019S-L,SUPERMICRO,,,,,,,,,,
16,16.0,16.0,16.0,16.0,,101,    10°C to 35°C (50°F to 95°F,    -40°C to 70°C (-40°F to 158°F,    8% to 90% (non-condensing,    5% to 95% (non-condensing,,,CSE-813MFTQC-350CB,Super X11SSH-F,1U Rackmount,350W AC power supply w/ PFC,Intel® C236 chipset,,"1.7"" (43mm)","17.2"" (437mm)","19.85"" (503mm)",Black,1 PCI-E 3.0 x8 (in x16,1 PCI-E 3.0 x8,1 PCI-E 3.0 x8 (in x16) AOC slot,,4 USB 3.0,2 USB 2.0,Single Socket H4 (LGA 1151) supports,Y,1,supermicro,5019S-M,S, 30.4 lbs (13.8 kg, 17.6 lbs (8 kg,,,,,,,,
17,17.0,17.0,17.0,17.0,,201,    10°C to 35°C (50°F to 95°F,    -40°C to 70°C (-40°F to 158°F,    8% to 90% (non-condensing,    5% to 95% (non-condensing,,,CSE-813MFTQC-350CB,Super X11SSH-F,1U Rackmount,350W AC power supply w/ PFC,Intel® C236 chipset,,"1.7"" (43mm)","17.2"" (437mm)","19.85"" (503mm)",Black,1 PCI-E 3.0 x8 (in x16,1 PCI-E 3.0 x8,1 PCI-E 3.0 x8 (in x16) AOC slot,,4 USB 3.0,2 USB 2.0,Single Socket H4 (LGA 1151) supports,Y,1,supermicro,5019S-M,SUPERMICRO, 30.4 lbs (13.8 kg, 17.6 lbs (8 kg,,,,,,,,
18,18.0,18.0,18.0,18.0,,102,    0°C to 40°C (32°F to 104°F,    -20°C to 60°C (-4°F to 140°F,    10% to 85% (non-condensing,    10% to 95% (non-condensing,,,CSE-721TQ-250B,Super X10SDV-TLN4F,Mini Tower,250W Flex ATX Multi-output Bronze Power Supply,,,"9.45"" (240mm)","8.27"" (210mm)","11"" (279mm)",Black,"1x PCI-E 3.0 x16 (LP), 1x M.2    PCI-E 3.0 x4, M Key 2242/2280",,"1x PCI-E 3.0 x16 (LP), 1x M.2    PCI-E 3.0 x4, M Key 2242/2280",,2x USB 3.0 ports (rear,2x USB 3.0 ports (rear,   Single socket FCBGA 1667;    UDIMM in 4 sockets,Y,1,supermicro,5028D-TN4T,S, 15 lbs (6.8 kg,,,,,,,,,
19,19.0,19.0,19.0,19.0,,203,    0°C to 40°C (32°F to 104°F,    -20°C to 60°C (-4°F to 140°F,    10% to 85% (non-condensing,    10% to 95% (non-condensing,,,CSE-721TQ-250B,Super X10SDV-TLN4F,Mini Tower,250W Flex ATX Multi-output Bronze Power Supply,,,"9.45"" (240mm)","8.27"" (210mm)","11"" (279mm)",Black,"1x PCI-E 3.0 x16 (LP), 1x M.2    PCI-E 3.0 x4, M Key 2242/2280",,"1x PCI-E 3.0 x16 (LP), 1x M.2    PCI-E 3.0 x4, M Key 2242/2280",,2x USB 3.0 ports (rear,2x USB 3.0 ports (rear,   Single socket FCBGA 1667;    UDIMM in 4 sockets,Y,1,supermicro,5028D-TN4T,SUPERMICRO, 15 lbs (6.8 kg,,,,,,,,,
20,20.0,20.0,20.0,20.0,,103,    10°C to 35°C (50°F to 95°F,    -40°C to 70°C (-40°F to 158°F,    8% to 90% (non-condensing,    5% to 95% (non-condensing,,38 lbs (17.24 kg),CSE-813MFTQ-R400CB,Super X10DRL-i,1U Rackmount,"400W Redundant Power Supplies w/Power Distributor, PMBus 1.2, I2C, and PFC",Intel® C612 chipset,Up to 22 Cores† / Up to 55MB† Cache,"1.7"" (43mm)","17.2"" (437mm)","19.8"" (503mm)",Black,1x PCI-E 3.0 x8 (FHHL) slot,,1x PCI-E 3.0 x8 (FHHL) slot,1TB,"4x USB 3.0 ports (2 rear, 2 headers","4x USB 3.0 ports (2 rear, 2 headers",Dual socket R3 (LGA 2011) supports,Y,1,supermicro,6018R-MTR,S,,,,,,,,,,
21,21.0,21.0,21.0,21.0,,205,    10°C to 35°C (50°F to 95°F,    -40°C to 70°C (-40°F to 158°F,    8% to 90% (non-condensing,    5% to 95% (non-condensing,,38 lbs (17.24 kg),CSE-813MFTQ-R400CB,Super X10DRL-i,1U Rackmount,"400W Redundant Power Supplies w/Power Distributor, PMBus 1.2, I2C, and PFC",Intel® C612 chipset,Up to 22 Cores† / Up to 55MB† Cache,"1.7"" (43mm)","17.2"" (437mm)","19.8"" (503mm)",Black,1x PCI-E 3.0 x8 (FHHL) slot,,1x PCI-E 3.0 x8 (FHHL) slot,1TB,"4x USB 3.0 ports (2 rear, 2 headers","4x USB 3.0 ports (2 rear, 2 headers",Dual socket R3 (LGA 2011) supports,Y,1,supermicro,6018R-MTR,SUPERMICRO,,,,,,,,,,
22,22.0,22.0,22.0,22.0,,104,    10°C ~ 35°C (50°F ~ 95°F,    -40°C to 60°C (-40°F to 140°F,    8% to 90% (non-condensing,    5% to 95% (non-condensing,,46 lbs (20.9kg),CSE-815TQC-R706WB2,Super X11DDW-L,1U Rackmount,,Intel® C621 chipset,Up to 28 Cores,"1.7"" (43mm)","17.2"" (437mm)","25.6"" (650mm)",Black,2 PCI-E 3.0 x16,1 PCI-E 3.0 x8,"2 PCI-E 3.0 x16 (FHHL) slots,    1 PCI-E 3.0 x8 (LP) slot,    1 PCI-E 3.0 x16 for Add-on-Module    1 PCI-E 3.0 x4 NVMe M.2 slot",3TB,4 USB 3.0,4 USB 3.0 ports (rear,Dual Socket P (LGA 3647) support,Y,1,supermicro,6019P-WTR,S,,,,,,,,,,
23,23.0,23.0,23.0,23.0,,206,    10°C ~ 35°C (50°F ~ 95°F,    -40°C to 60°C (-40°F to 140°F,    8% to 90% (non-condensing,    5% to 95% (non-condensing,,46 lbs (20.9kg),CSE-815TQC-R706WB2,Super X11DDW-L,1U Rackmount,,Intel® C621 chipset,Up to 28 Cores,"1.7"" (43mm)","17.2"" (437mm)","25.6"" (650mm)",Black,2 PCI-E 3.0 x16,1 PCI-E 3.0 x8,"2 PCI-E 3.0 x16 (FHHL) slots,    1 PCI-E 3.0 x8 (LP) slot,    1 PCI-E 3.0 x16 for Add-on-Module    1 PCI-E 3.0 x4 NVMe M.2 slot",3TB,4 USB 3.0,4 USB 3.0 ports (rear,Dual Socket P (LGA 3647) support,Y,1,supermicro,6019P-WTR,SUPERMICRO,,,,,,,,,,
24,24.0,24.0,24.0,24.0,,105,    10°C ~ 35°C (50°F ~ 95°F,    -40°C to 60°C (-40°F to 140°F,    8% to 90% (non-condensing,    5% to 95% (non-condensing,,64 lbs (29.0 kg),CSE-826BAC4-R1K23WB,Super X11DDW-NT,2U Rackmount,,Intel® C622 chipset,Up to 28 Cores,"3.5"" (89mm)","17.2"" (437mm)","25.5"" (648mm)",Black,1 PCI-E 3.0 x16,2 PCI-E 3.0 x8,"1 PCI-E 3.0 x16 (FHHL) slots,    2 PCI-E 3.0 x8 (FHHL) slots,    2 PCI-E 3.0 x8 (LP) slots,    1 PCI-E 3.0 x16 for Add-on-Module    1 PCI-E 3.0 x4 NVMe M.2 slot",3TB,4 USB 3.0,4 USB 3.0 ports (rear,Dual Socket P (LGA 3647) support,Y,1,supermicro,6029P-WTRT,S,,,,,,,,,,
25,25.0,25.0,25.0,25.0,,208,    10°C ~ 35°C (50°F ~ 95°F,    -40°C to 60°C (-40°F to 140°F,    8% to 90% (non-condensing,    5% to 95% (non-condensing,,64 lbs (29.0 kg),CSE-826BAC4-R1K23WB,Super X11DDW-NT,2U Rackmount,,Intel® C622 chipset,Up to 28 Cores,"3.5"" (89mm)","17.2"" (437mm)","25.5"" (648mm)",Black,1 PCI-E 3.0 x16,2 PCI-E 3.0 x8,"1 PCI-E 3.0 x16 (FHHL) slots,    2 PCI-E 3.0 x8 (FHHL) slots,    2 PCI-E 3.0 x8 (LP) slots,    1 PCI-E 3.0 x16 for Add-on-Module    1 PCI-E 3.0 x4 NVMe M.2 slot",3TB,4 USB 3.0,4 USB 3.0 ports (rear,Dual Socket P (LGA 3647) support,Y,1,supermicro,6029P-WTRT,SUPERMICRO,,,,,,,,,,
26,26.0,26.0,26.0,26.0,,106,    10°C ~ 35°C (50°F ~ 95°F,    -40°C to 60°C (-40°F to 140°F,    8% to 90% (non-condensing,    5% to 95% (non-condensing,,72 lbs (32.6kg),CSE-835XTQ-R982B,Super X11DPX-T,3U Rackmount,,Intel® C621 chipset,Up to 28 Cores,"5.2"" (132mm)","17.2"" (437mm)","25.5"" (648mm)",Black,2 PCI-E 3.0 x16,4 PCI-E 3.0 x8,"2 PCI-E 3.0 x16 slots,    2 PCI-E 3.0 x16 slots (or 4 PCI-E    3.0 x8), 4 PCI-E 3.0 x8 slots,    1 PCI-E 3.0 x4 (in x8 slot)7. 1 PCI-E 3.0 x4 M.2 2280 slot from PCH",4TB,2 USB 3.0 ports (rear,2 USB 3.0 ports (rear,Dual Socket P (LGA 3647) support,Y,1,supermicro,6039P-TXRT,S,,,,,,,,,,
27,27.0,27.0,27.0,27.0,,211,    10°C ~ 35°C (50°F ~ 95°F,    -40°C to 60°C (-40°F to 140°F,    8% to 90% (non-condensing,    5% to 95% (non-condensing,,72 lbs (32.6kg),CSE-835XTQ-R982B,Super X11DPX-T,3U Rackmount,,Intel® C621 chipset,Up to 28 Cores,"5.2"" (132mm)","17.2"" (437mm)","25.5"" (648mm)",Black,2 PCI-E 3.0 x16,4 PCI-E 3.0 x8,"2 PCI-E 3.0 x16 slots,    2 PCI-E 3.0 x16 slots (or 4 PCI-E    3.0 x8), 4 PCI-E 3.0 x8 slots,    1 PCI-E 3.0 x4 (in x8 slot)7. 1 PCI-E 3.0 x4 M.2 2280 slot from PCH",4TB,2 USB 3.0 ports (rear,2 USB 3.0 ports (rear,Dual Socket P (LGA 3647) support,Y,1,supermicro,6039P-TXRT,SUPERMICRO,,,,,,,,,,
28,28.0,28.0,28.0,28.0,,107,    10°C ~ 35°C (50°F ~ 95°F,    -40°C to 60°C (-40°F to 140°F,    8% to 90% (non-condensing,    5% to 95% (non-condensing, 65.5 lbs (29.7 kg, 100 lbs (45.3 kg,CSE-418GTS-R4000BP2,Super X11DPG-OT-CPU,4U Rackmountable Rackmount Kit (MCP-290-00057-0N),2000W Redundant Power Supplies with PMBus,Intel® C622 chipset,Up to 28 Cores,"7.0"" (178mm)","17.2"" (437mm)","29"" (737mm)",Black,8 PCI-E 3.0 x16,2 PCI-E 3.0 x8,"8 PCI-E 3.0 x16 slots    2 PCI-E 3.0 x8, 1 PCI-E 3.0 x4",6TB,4 USB 3.0 ports (rear,4 USB 3.0 ports (rear,Dual Socket P (LGA 3647) support,Y,1,supermicro,4029GP-TRT,S,,,,,,,,,,
29,29.0,29.0,29.0,29.0,,191,    10°C ~ 35°C (50°F ~ 95°F,    -40°C to 60°C (-40°F to 140°F,    8% to 90% (non-condensing,    5% to 95% (non-condensing, 65.5 lbs (29.7 kg, 100 lbs (45.3 kg,CSE-418GTS-R4000BP2,Super X11DPG-OT-CPU,4U Rackmountable Rackmount Kit (MCP-290-00057-0N),2000W Redundant Power Supplies with PMBus,Intel® C622 chipset,Up to 28 Cores,"7.0"" (178mm)","17.2"" (437mm)","29"" (737mm)",Black,8 PCI-E 3.0 x16,2 PCI-E 3.0 x8,"8 PCI-E 3.0 x16 slots    2 PCI-E 3.0 x8, 1 PCI-E 3.0 x4",6TB,4 USB 3.0 ports (rear,4 USB 3.0 ports (rear,Dual Socket P (LGA 3647) support,Y,1,supermicro,4029GP-TRT,SUPERMICRO,,,,,,,,,,
30,30.0,30.0,30.0,30.0,,108,    10°C ~ 35°C (50°F ~ 95°F,    -40°C to 60°C (-40°F to 140°F,    8% to 90% (non-condensing,    5% to 95% (non-condensing, 46 lbs (20.9 kg, 62 lbs (28.1 kg,CSE-747BTS-R2K20BP,Super X11DPG-QT,4U Rackmountable / Tower Optional Rackmount Kit,2200W Redundant Power Supplies with PMBus,Intel® C621 chipset,Up to 28 Cores,"18.2"" (462mm)","7.0"" (178mm)","26.5"" (673mm)",Dark Gray,4 PCI-E 3.0 x16,1 PCI-E 3.0 x4 (in x8,"4 PCI-E 3.0 x16 (double-width) slots,    2 PCI-E 3.0 x16 (single-width) slots,    1 PCI-E 3.0 x4 (in x8) slot",4TB,5 USB 3.0,"5 USB 3.0 ports (2 rear, 2 via header, 1 Type A",Dual Socket P (LGA 3647) support,Y,1,supermicro,7049GP-TRT,S,,,,,,,,,,
31,31.0,31.0,31.0,31.0,,212,    10°C ~ 35°C (50°F ~ 95°F,    -40°C to 60°C (-40°F to 140°F,    8% to 90% (non-condensing,    5% to 95% (non-condensing, 46 lbs (20.9 kg, 62 lbs (28.1 kg,CSE-747BTS-R2K20BP,Super X11DPG-QT,4U Rackmountable / Tower Optional Rackmount Kit,2200W Redundant Power Supplies with PMBus,Intel® C621 chipset,Up to 28 Cores,"18.2"" (462mm)","7.0"" (178mm)","26.5"" (673mm)",Dark Gray,4 PCI-E 3.0 x16,1 PCI-E 3.0 x4 (in x8,"4 PCI-E 3.0 x16 (double-width) slots,    2 PCI-E 3.0 x16 (single-width) slots,    1 PCI-E 3.0 x4 (in x8) slot",4TB,5 USB 3.0,"5 USB 3.0 ports (2 rear, 2 via header, 1 Type A",Dual Socket P (LGA 3647) support,Y,1,supermicro,7049GP-TRT,SUPERMICRO,,,,,,,,,,
32,32.0,32.0,32.0,32.0,,109,    10°C to 35°C (50°F to 95°F,    -40°C to 70°C (-40°F to 158°F,    8% to 90% (non-condensing,    5% to 95% (non-condensing, 25.5 lbs (11.6 kg, 39 lbs (17.7 kg,CSE-116AC2-R706WB,Super X10DRW-i,1U Rackmount,,Intel® C612 chipset,Up to 22 Cores† / Up to 55MB† Cache,"1.7"" (43mm)","17.2"" (437mm)","23.5"" (597mm)",Black,2 PCI-E 3.0 x16,,2 PCI-E 3.0 x16 (FHHL) slots,2TB,6 USB 3.0 ports (4 rear + 2 via header,6 USB 3.0 ports (4 rear + 2 via header,Dual socket R3 (LGA 2011) supports,Y,1,supermicro,1028R-WC1R,S,,,,,,,,,,
